Date,Currency,INR to Currency,Currency to INR
17-01-2025,US Dollar,0.011552,86.563897
17-01-2025,Euro,0.011215,89.165363
17-01-2025,British Pound,0.009469,105.606464
17-01-2025,Australian Dollar,0.018575,53.837022
17-01-2025,Canadian Dollar,0.016636,60.112117
17-01-2025,Singapore Dollar,0.015784,63.353871
17-01-2025,Swiss Franc,0.010555,94.743881
17-01-2025,Malaysian Ringgit,0.052055,19.210343
17-01-2025,Japanese Yen,1.803476,0.554485
17-01-2025,Chinese Yuan Renminbi,0.084621,11.817406
18-01-2025,US Dollar,0.011551,86.573562
18-01-2025,Euro,0.01123,89.050794
18-01-2025,British Pound,0.00949,105.375514
18-01-2025,Australian Dollar,0.018658,53.597575
18-01-2025,Canadian Dollar,0.016729,59.777121
18-01-2025,Singapore Dollar,0.015814,63.236476
18-01-2025,Swiss Franc,0.010572,94.593118
18-01-2025,Malaysian Ringgit,0.052051,19.211862
18-01-2025,Japanese Yen,1.805582,0.553838
18-01-2025,Chinese Yuan Renminbi,0.084609,11.819054
19-01-2025,US Dollar,0.011551,86.575683
19-01-2025,Euro,0.011251,88.879703
19-01-2025,British Pound,0.00949,105.372771
19-01-2025,Australian Dollar,0.018652,53.61248
19-01-2025,Canadian Dollar,0.016725,59.790493
19-01-2025,Singapore Dollar,0.015821,63.208342
19-01-2025,Swiss Franc,0.010572,94.592714
19-01-2025,Malaysian Ringgit,0.052051,19.211874
19-01-2025,Japanese Yen,1.805938,0.553729
19-01-2025,Chinese Yuan Renminbi,0.084607,11.819332
20-01-2025,US Dollar,0.011599,86.216015
20-01-2025,Euro,0.011151,89.674055
20-01-2025,British Pound,0.009434,105.998048
20-01-2025,Australian Dollar,0.018537,53.947
20-01-2025,Canadian Dollar,0.016635,60.114592
20-01-2025,Singapore Dollar,0.015735,63.552481
20-01-2025,Swiss Franc,0.010534,94.928191
20-01-2025,Malaysian Ringgit,0.052137,19.180292
20-01-2025,Japanese Yen,1.805417,0.553889
20-01-2025,Chinese Yuan Renminbi,0.084826,11.788879
21-01-2025,US Dollar,0.011561,86.494107
21-01-2025,Euro,0.011117,89.95487
21-01-2025,British Pound,0.009399,106.391704
21-01-2025,Australian Dollar,0.01847,54.140563
21-01-2025,Canadian Dollar,0.016623,60.156224
21-01-2025,Singapore Dollar,0.015665,63.835668
21-01-2025,Swiss Franc,0.010494,95.294955
21-01-2025,Malaysian Ringgit,0.051747,19.324637
21-01-2025,Japanese Yen,1.795592,0.556919
21-01-2025,Chinese Yuan Renminbi,0.084064,11.895633
22-01-2025,US Dollar,0.011569,86.436398
22-01-2025,Euro,0.011103,90.065476
22-01-2025,British Pound,0.009392,106.471045
22-01-2025,Australian Dollar,0.018444,54.216707
22-01-2025,Canadian Dollar,0.016633,60.120446
22-01-2025,Singapore Dollar,0.01568,63.775639
22-01-2025,Swiss Franc,0.010493,95.304504
22-01-2025,Malaysian Ringgit,0.051337,19.478944
22-01-2025,Japanese Yen,1.809586,0.552613
22-01-2025,Chinese Yuan Renminbi,0.084134,11.885869
23-01-2025,US Dollar,0.011566,86.458903
23-01-2025,Euro,0.011124,89.895652
23-01-2025,British Pound,0.009385,106.547931
23-01-2025,Australian Dollar,0.018439,54.232483
23-01-2025,Canadian Dollar,0.016632,60.123715
23-01-2025,Singapore Dollar,0.015695,63.713111
23-01-2025,Swiss Franc,0.010516,95.096176
23-01-2025,Malaysian Ringgit,0.051392,19.45827
23-01-2025,Japanese Yen,1.806343,0.553605
23-01-2025,Chinese Yuan Renminbi,0.084292,11.863536
24-01-2025,US Dollar,0.011606,86.163262
24-01-2025,Euro,0.011034,90.627905
24-01-2025,British Pound,0.009296,107.571007
24-01-2025,Australian Dollar,0.018353,54.487681
24-01-2025,Canadian Dollar,0.016628,60.141224
24-01-2025,Singapore Dollar,0.015614,64.043265
24-01-2025,Swiss Franc,0.010498,95.252689
24-01-2025,Malaysian Ringgit,0.05079,19.688749
24-01-2025,Japanese Yen,1.807112,0.553369
24-01-2025,Chinese Yuan Renminbi,0.084073,11.894364
25-01-2025,US Dollar,0.011606,86.165983
25-01-2025,Euro,0.011058,90.429549
25-01-2025,British Pound,0.009299,107.540264
25-01-2025,Australian Dollar,0.018384,54.393767
25-01-2025,Canadian Dollar,0.016679,59.957332
25-01-2025,Singapore Dollar,0.015623,64.008959
25-01-2025,Swiss Franc,0.010513,95.124566
25-01-2025,Malaysian Ringgit,0.050807,19.68215
25-01-2025,Japanese Yen,1.810102,0.552455
25-01-2025,Chinese Yuan Renminbi,0.084069,11.894987
26-01-2025,US Dollar,0.011605,86.169976
26-01-2025,Euro,0.011057,90.440364
26-01-2025,British Pound,0.009299,107.537528
26-01-2025,Australian Dollar,0.018381,54.404947
26-01-2025,Canadian Dollar,0.016646,60.072881
26-01-2025,Singapore Dollar,0.01562,64.018898
26-01-2025,Swiss Franc,0.010512,95.130283
26-01-2025,Malaysian Ringgit,0.050806,19.68256
26-01-2025,Japanese Yen,1.810433,0.552354
26-01-2025,Chinese Yuan Renminbi,0.084065,11.895581
27-01-2025,US Dollar,0.011582,86.337792
27-01-2025,Euro,0.011032,90.646147
27-01-2025,British Pound,0.009285,107.700143
27-01-2025,Australian Dollar,0.018429,54.262514
27-01-2025,Canadian Dollar,0.016661,60.021298
27-01-2025,Singapore Dollar,0.01557,64.225494
27-01-2025,Swiss Franc,0.010432,95.860204
27-01-2025,Malaysian Ringgit,0.050702,19.723159
27-01-2025,Japanese Yen,1.787873,0.559324
27-01-2025,Chinese Yuan Renminbi,0.08398,11.907653
28-01-2025,US Dollar,0.011555,86.540662
28-01-2025,Euro,0.011085,90.213295
28-01-2025,British Pound,0.009295,107.587189
28-01-2025,Australian Dollar,0.018505,54.040706
28-01-2025,Canadian Dollar,0.016632,60.126056
28-01-2025,Singapore Dollar,0.015625,64.001274
28-01-2025,Swiss Franc,0.010466,95.543393
28-01-2025,Malaysian Ringgit,0.050748,19.705172
28-01-2025,Japanese Yen,1.799523,0.555703
28-01-2025,Chinese Yuan Renminbi,0.083783,11.93563
29-01-2025,US Dollar,0.011547,86.6057
29-01-2025,Euro,0.011081,90.247767
29-01-2025,British Pound,0.009285,107.695324
29-01-2025,Australian Dollar,0.018542,53.931605
29-01-2025,Canadian Dollar,0.016678,59.959388
29-01-2025,Singapore Dollar,0.015582,64.174855
29-01-2025,Swiss Franc,0.010466,95.546731
29-01-2025,Malaysian Ringgit,0.050716,19.717667
29-01-2025,Japanese Yen,1.789831,0.558712
29-01-2025,Chinese Yuan Renminbi,0.083716,11.945085
30-01-2025,US Dollar,0.011551,86.575354
30-01-2025,Euro,0.011074,90.298281
30-01-2025,British Pound,0.009265,107.931981
30-01-2025,Australian Dollar,0.018533,53.958039
30-01-2025,Canadian Dollar,0.016646,60.074386
30-01-2025,Singapore Dollar,0.015582,64.175803
30-01-2025,Swiss Franc,0.01048,95.422043
30-01-2025,Malaysian Ringgit,0.050711,19.719695
30-01-2025,Japanese Yen,1.780349,0.561688
30-01-2025,Chinese Yuan Renminbi,0.08375,11.940329
31-01-2025,US Dollar,0.011553,86.554034
31-01-2025,Euro,0.011112,89.992187
31-01-2025,British Pound,0.009298,107.55185
31-01-2025,Australian Dollar,0.018522,53.989688
31-01-2025,Canadian Dollar,0.016731,59.770376
31-01-2025,Singapore Dollar,0.015658,63.865833
31-01-2025,Swiss Franc,0.010492,95.314905
31-01-2025,Malaysian Ringgit,0.051469,19.4292
31-01-2025,Japanese Yen,1.788958,0.558985
31-01-2025,Chinese Yuan Renminbi,0.083779,11.936122
01-02-2025,US Dollar,0.011555,86.5427
01-02-2025,Euro,0.011153,89.661895
01-02-2025,British Pound,0.00932,107.30073
01-02-2025,Australian Dollar,0.018586,53.803563
01-02-2025,Canadian Dollar,0.016789,59.561698
01-02-2025,Singapore Dollar,0.015696,63.710948
01-02-2025,Swiss Franc,0.010526,95.007036
01-02-2025,Malaysian Ringgit,0.051474,19.427242
01-02-2025,Japanese Yen,1.793171,0.557671
01-02-2025,Chinese Yuan Renminbi,0.083781,11.935859
02-02-2025,US Dollar,0.011554,86.548847
02-02-2025,Euro,0.011152,89.67403
02-02-2025,British Pound,0.009318,107.321601
02-02-2025,Australian Dollar,0.018603,53.754902
02-02-2025,Canadian Dollar,0.016784,59.580049
02-02-2025,Singapore Dollar,0.0157,63.693424
02-02-2025,Swiss Franc,0.010526,94.999956
02-02-2025,Malaysian Ringgit,0.051469,19.429072
02-02-2025,Japanese Yen,1.792703,0.557817
02-02-2025,Chinese Yuan Renminbi,0.083775,11.936734
03-02-2025,US Dollar,0.011497,86.977783
03-02-2025,Euro,0.011146,89.720919
03-02-2025,British Pound,0.009264,107.945993
03-02-2025,Australian Dollar,0.018564,53.868587
03-02-2025,Canadian Dollar,0.016752,59.694565
03-02-2025,Singapore Dollar,0.015658,63.864556
03-02-2025,Swiss Franc,0.01048,95.419309
03-02-2025,Malaysian Ringgit,0.051446,19.437695
03-02-2025,Japanese Yen,1.779348,0.562003
03-02-2025,Chinese Yuan Renminbi,0.083351,11.997402
04-02-2025,US Dollar,0.011484,87.074317
04-02-2025,Euro,0.011064,90.384947
04-02-2025,British Pound,0.009204,108.645246
04-02-2025,Australian Dollar,0.018378,54.411671
04-02-2025,Canadian Dollar,0.016457,60.763917
04-02-2025,Singapore Dollar,0.015523,64.421415
04-02-2025,Swiss Franc,0.010403,96.127429
04-02-2025,Malaysian Ringgit,0.051027,19.597322
04-02-2025,Japanese Yen,1.776087,0.563036
04-02-2025,Chinese Yuan Renminbi,0.083268,12.009351
05-02-2025,US Dollar,0.011449,87.345004
05-02-2025,Euro,0.010986,91.027538
05-02-2025,British Pound,0.009146,109.33223
05-02-2025,Australian Dollar,0.01819,54.975424
05-02-2025,Canadian Dollar,0.016356,61.140867
05-02-2025,Singapore Dollar,0.015428,64.818723
05-02-2025,Swiss Franc,0.010312,96.977743
05-02-2025,Malaysian Ringgit,0.050637,19.748301
05-02-2025,Japanese Yen,1.741871,0.574095
05-02-2025,Chinese Yuan Renminbi,0.083258,12.010897
06-02-2025,US Dollar,0.011414,87.61103
06-02-2025,Euro,0.011008,90.846579
06-02-2025,British Pound,0.009194,108.76567
06-02-2025,Australian Dollar,0.018177,55.015478
06-02-2025,Canadian Dollar,0.016348,61.170093
06-02-2025,Singapore Dollar,0.015427,64.821495
06-02-2025,Swiss Franc,0.010333,96.779089
06-02-2025,Malaysian Ringgit,0.050635,19.749192
06-02-2025,Japanese Yen,1.731561,0.577514
06-02-2025,Chinese Yuan Renminbi,0.08319,12.020652
07-02-2025,US Dollar,0.011402,87.700587
07-02-2025,Euro,0.011014,90.790925
07-02-2025,British Pound,0.009179,108.946025
07-02-2025,Australian Dollar,0.018174,55.023642
07-02-2025,Canadian Dollar,0.016316,61.288663
07-02-2025,Singapore Dollar,0.015431,64.804837
07-02-2025,Swiss Franc,0.010368,96.451283
07-02-2025,Malaysian Ringgit,0.05055,19.782413
07-02-2025,Japanese Yen,1.726217,0.579302
07-02-2025,Chinese Yuan Renminbi,0.083099,12.033838
08-02-2025,US Dollar,0.011412,87.624897
08-02-2025,Euro,0.01105,90.499639
08-02-2025,British Pound,0.009201,108.678264
08-02-2025,Australian Dollar,0.018198,54.951853
08-02-2025,Canadian Dollar,0.016313,61.299819
08-02-2025,Singapore Dollar,0.015458,64.692311
08-02-2025,Swiss Franc,0.010382,96.32036
08-02-2025,Malaysian Ringgit,0.050676,19.733214
08-02-2025,Japanese Yen,1.728064,0.578682
08-02-2025,Chinese Yuan Renminbi,0.083174,12.022926
09-02-2025,US Dollar,0.011397,87.746215
09-02-2025,Euro,0.011035,90.617947
09-02-2025,British Pound,0.009187,108.84899
09-02-2025,Australian Dollar,0.018177,55.013276
09-02-2025,Canadian Dollar,0.016289,61.389371
09-02-2025,Singapore Dollar,0.015441,64.763811
09-02-2025,Swiss Franc,0.010368,96.450958
09-02-2025,Malaysian Ringgit,0.050606,19.760448
09-02-2025,Japanese Yen,1.725395,0.579578
09-02-2025,Chinese Yuan Renminbi,0.083059,12.039565
10-02-2025,US Dollar,0.011436,87.442235
10-02-2025,Euro,0.011086,90.201984
10-02-2025,British Pound,0.00923,108.337854
10-02-2025,Australian Dollar,0.018198,54.951685
10-02-2025,Canadian Dollar,0.016378,61.057102
10-02-2025,Singapore Dollar,0.01549,64.556744
10-02-2025,Swiss Franc,0.010411,96.049906
10-02-2025,Malaysian Ringgit,0.051123,19.560807
10-02-2025,Japanese Yen,1.734024,0.576693
10-02-2025,Chinese Yuan Renminbi,0.083535,11.971053
11-02-2025,US Dollar,0.011525,86.770706
11-02-2025,Euro,0.011145,89.729409
11-02-2025,British Pound,0.00929,107.645818
11-02-2025,Australian Dollar,0.018326,54.567032
11-02-2025,Canadian Dollar,0.016496,60.620031
11-02-2025,Singapore Dollar,0.015611,64.057901
11-02-2025,Swiss Franc,0.010525,95.008163
11-02-2025,Malaysian Ringgit,0.051514,19.412311
11-02-2025,Japanese Yen,1.75772,0.568919
11-02-2025,Chinese Yuan Renminbi,0.084216,11.874296
12-02-2025,US Dollar,0.011504,86.929595
12-02-2025,Euro,0.011089,90.183179
12-02-2025,British Pound,0.009252,108.080726
12-02-2025,Australian Dollar,0.018334,54.542767
12-02-2025,Canadian Dollar,0.016445,60.809568
12-02-2025,Singapore Dollar,0.015582,64.175044
12-02-2025,Swiss Franc,0.010507,95.170697
12-02-2025,Malaysian Ringgit,0.051402,19.454599
12-02-2025,Japanese Yen,1.776525,0.562897
12-02-2025,Chinese Yuan Renminbi,0.084077,11.893871
13-02-2025,US Dollar,0.011529,86.739938
13-02-2025,Euro,0.011049,90.504988
13-02-2025,British Pound,0.009206,108.626491
13-02-2025,Australian Dollar,0.018306,54.627277
13-02-2025,Canadian Dollar,0.016396,60.989222
13-02-2025,Singapore Dollar,0.015527,64.404498
13-02-2025,Swiss Franc,0.010434,95.840139
13-02-2025,Malaysian Ringgit,0.051359,19.470703
13-02-2025,Japanese Yen,1.765411,0.56644
13-02-2025,Chinese Yuan Renminbi,0.08403,11.90055
14-02-2025,US Dollar,0.011544,86.626179
14-02-2025,Euro,0.010984,91.040105
14-02-2025,British Pound,0.009148,109.308922
14-02-2025,Australian Dollar,0.018142,55.120171
14-02-2025,Canadian Dollar,0.016354,61.147142
14-02-2025,Singapore Dollar,0.01545,64.726119
14-02-2025,Swiss Franc,0.010364,96.49235
14-02-2025,Malaysian Ringgit,0.051198,19.531933
14-02-2025,Japanese Yen,1.756302,0.569378
14-02-2025,Chinese Yuan Renminbi,0.083729,11.943293
15-02-2025,US Dollar,0.011546,86.611549
15-02-2025,Euro,0.011002,90.890832
15-02-2025,British Pound,0.009172,109.032461
15-02-2025,Australian Dollar,0.018179,55.008084
15-02-2025,Canadian Dollar,0.016379,61.053606
15-02-2025,Singapore Dollar,0.015463,64.669619
15-02-2025,Swiss Franc,0.010387,96.269959
15-02-2025,Malaysian Ringgit,0.051223,19.522403
15-02-2025,Japanese Yen,1.758497,0.568667
15-02-2025,Chinese Yuan Renminbi,0.083859,11.924741
16-02-2025,US Dollar,0.011545,86.620027
16-02-2025,Euro,0.010997,90.931876
16-02-2025,British Pound,0.009174,109.005741
16-02-2025,Australian Dollar,0.018175,55.019227
16-02-2025,Canadian Dollar,0.016375,61.070046
16-02-2025,Singapore Dollar,0.015463,64.670643
16-02-2025,Swiss Franc,0.010385,96.289062
16-02-2025,Malaysian Ringgit,0.051211,19.527011
16-02-2025,Japanese Yen,1.758827,0.568561
16-02-2025,Chinese Yuan Renminbi,0.083809,11.931866
17-02-2025,US Dollar,0.011515,86.842299
17-02-2025,Euro,0.010987,91.014721
17-02-2025,British Pound,0.009134,109.484347
17-02-2025,Australian Dollar,0.01809,55.279121
17-02-2025,Canadian Dollar,0.016336,61.214495
17-02-2025,Singapore Dollar,0.015442,64.757947
17-02-2025,Swiss Franc,0.010376,96.375127
17-02-2025,Malaysian Ringgit,0.051045,19.59056
17-02-2025,Japanese Yen,1.743002,0.573723
17-02-2025,Chinese Yuan Renminbi,0.083634,11.956916
18-02-2025,US Dollar,0.011508,86.897713
18-02-2025,Euro,0.010995,90.947838
18-02-2025,British Pound,0.009122,109.627803
18-02-2025,Australian Dollar,0.018114,55.205605
18-02-2025,Canadian Dollar,0.016328,61.244252
18-02-2025,Singapore Dollar,0.015442,64.758573
18-02-2025,Swiss Franc,0.010376,96.373756
18-02-2025,Malaysian Ringgit,0.051161,19.546091
18-02-2025,Japanese Yen,1.745332,0.572957
18-02-2025,Chinese Yuan Renminbi,0.083759,11.938956
19-02-2025,US Dollar,0.011509,86.887066
19-02-2025,Euro,0.01104,90.577233
19-02-2025,British Pound,0.009141,109.39439
19-02-2025,Australian Dollar,0.018126,55.17034
19-02-2025,Canadian Dollar,0.016367,61.097207
19-02-2025,Singapore Dollar,0.015452,64.716577
19-02-2025,Swiss Franc,0.010401,96.143318
19-02-2025,Malaysian Ringgit,0.051123,19.560508
19-02-2025,Japanese Yen,1.742451,0.573904
19-02-2025,Chinese Yuan Renminbi,0.083822,11.930075
20-02-2025,US Dollar,0.011553,86.554247
20-02-2025,Euro,0.01103,90.662977
20-02-2025,British Pound,0.00914,109.412973
20-02-2025,Australian Dollar,0.018066,55.352062
20-02-2025,Canadian Dollar,0.016393,61.000333
20-02-2025,Singapore Dollar,0.015421,64.845352
20-02-2025,Swiss Franc,0.010395,96.2008
20-02-2025,Malaysian Ringgit,0.051181,19.538687
20-02-2025,Japanese Yen,1.727128,0.578996
20-02-2025,Chinese Yuan Renminbi,0.083826,11.929499
21-02-2025,US Dollar,0.011547,86.605569
21-02-2025,Euro,0.011045,90.542415
21-02-2025,British Pound,0.009136,109.45615
21-02-2025,Australian Dollar,0.018113,55.208188
21-02-2025,Canadian Dollar,0.016402,60.96879
21-02-2025,Singapore Dollar,0.015432,64.799546
21-02-2025,Swiss Franc,0.010388,96.266365
21-02-2025,Malaysian Ringgit,0.051074,19.579311
21-02-2025,Japanese Yen,1.726862,0.579085
21-02-2025,Chinese Yuan Renminbi,0.083719,11.944652
22-02-2025,US Dollar,0.01155,86.582568
22-02-2025,Euro,0.011042,90.566995
22-02-2025,British Pound,0.009142,109.389764
22-02-2025,Australian Dollar,0.018172,55.030779
22-02-2025,Canadian Dollar,0.016432,60.856527
22-02-2025,Singapore Dollar,0.015432,64.802483
22-02-2025,Swiss Franc,0.01037,96.435647
22-02-2025,Malaysian Ringgit,0.051035,19.594546
22-02-2025,Japanese Yen,1.724245,0.579964
22-02-2025,Chinese Yuan Renminbi,0.083736,11.942296
23-02-2025,US Dollar,0.011546,86.608991
23-02-2025,Euro,0.011041,90.575125
23-02-2025,British Pound,0.009137,109.439307
23-02-2025,Australian Dollar,0.01812,55.187518
23-02-2025,Canadian Dollar,0.016434,60.849125
23-02-2025,Singapore Dollar,0.01543,64.808596
23-02-2025,Swiss Franc,0.010366,96.468486
23-02-2025,Malaysian Ringgit,0.05102,19.600347
23-02-2025,Japanese Yen,1.723688,0.580151
23-02-2025,Chinese Yuan Renminbi,0.08371,11.945948
24-02-2025,US Dollar,0.011538,86.669195
24-02-2025,Euro,0.011021,90.733897
24-02-2025,British Pound,0.009142,109.379753
24-02-2025,Australian Dollar,0.018159,55.069003
24-02-2025,Canadian Dollar,0.016428,60.873224
24-02-2025,Singapore Dollar,0.01544,64.766575
24-02-2025,Swiss Franc,0.010348,96.633258
24-02-2025,Malaysian Ringgit,0.050855,19.663734
24-02-2025,Japanese Yen,1.722456,0.580566
24-02-2025,Chinese Yuan Renminbi,0.083625,11.958206
25-02-2025,US Dollar,0.011475,87.14521
25-02-2025,Euro,0.01093,91.488094
25-02-2025,British Pound,0.009068,110.273773
25-02-2025,Australian Dollar,0.018118,55.195095
25-02-2025,Canadian Dollar,0.016402,60.967294
25-02-2025,Singapore Dollar,0.015349,65.151225
25-02-2025,Swiss Franc,0.010254,97.527545
25-02-2025,Malaysian Ringgit,0.050745,19.706335
25-02-2025,Japanese Yen,1.710673,0.584565
25-02-2025,Chinese Yuan Renminbi,0.083209,12.017996
26-02-2025,US Dollar,0.011471,87.173583
26-02-2025,Euro,0.010919,91.58306
26-02-2025,British Pound,0.009036,110.665563
26-02-2025,Australian Dollar,0.018162,55.06124
26-02-2025,Canadian Dollar,0.016459,60.758688
26-02-2025,Singapore Dollar,0.015338,65.198811
26-02-2025,Swiss Franc,0.010252,97.544164
26-02-2025,Malaysian Ringgit,0.050793,19.687568
26-02-2025,Japanese Yen,1.714865,0.583136
26-02-2025,Chinese Yuan Renminbi,0.083279,12.007878
27-02-2025,US Dollar,0.01145,87.33667
27-02-2025,Euro,0.010995,90.951086
27-02-2025,British Pound,0.009067,110.285854
27-02-2025,Australian Dollar,0.018303,54.634612
27-02-2025,Canadian Dollar,0.01652,60.53324
27-02-2025,Singapore Dollar,0.015428,64.818732
27-02-2025,Swiss Franc,0.010297,97.114897
27-02-2025,Malaysian Ringgit,0.050883,19.652976
27-02-2025,Japanese Yen,1.717021,0.582404
27-02-2025,Chinese Yuan Renminbi,0.083417,11.987915
28-02-2025,US Dollar,0.011439,87.416696
28-02-2025,Euro,0.010998,90.92833
28-02-2025,British Pound,0.009084,110.087246
28-02-2025,Australian Dollar,0.018396,54.360545
28-02-2025,Canadian Dollar,0.01648,60.680623
28-02-2025,Singapore Dollar,0.015431,64.806258
28-02-2025,Swiss Franc,0.01032,96.895695
28-02-2025,Malaysian Ringgit,0.051038,19.593396
28-02-2025,Japanese Yen,1.72346,0.580228
28-02-2025,Chinese Yuan Renminbi,0.083313,12.002978
01-03-2025,US Dollar,0.011432,87.474204
01-03-2025,Euro,0.011016,90.777177
01-03-2025,British Pound,0.00909,110.006879
01-03-2025,Australian Dollar,0.018413,54.308618
01-03-2025,Canadian Dollar,0.016536,60.473865
01-03-2025,Singapore Dollar,0.015447,64.738373
01-03-2025,Swiss Franc,0.010324,96.857812
01-03-2025,Malaysian Ringgit,0.051014,19.602463
01-03-2025,Japanese Yen,1.721736,0.580809
01-03-2025,Chinese Yuan Renminbi,0.083256,12.011075
02-03-2025,US Dollar,0.011432,87.476587
02-03-2025,Euro,0.011019,90.755822
02-03-2025,British Pound,0.009085,110.067992
02-03-2025,Australian Dollar,0.018413,54.308988
02-03-2025,Canadian Dollar,0.016536,60.472436
02-03-2025,Singapore Dollar,0.015447,64.739456
02-03-2025,Swiss Franc,0.010327,96.834373
02-03-2025,Malaysian Ringgit,0.051012,19.60319
02-03-2025,Japanese Yen,1.721837,0.580775
02-03-2025,Chinese Yuan Renminbi,0.083254,12.011404
03-03-2025,US Dollar,0.01146,87.259279
03-03-2025,Euro,0.01093,91.493928
